Facility Name,Medical Director/Administrator,Phone,Email,Website,Address,Square Footage,Notes (Specialty, Exam Rooms, Procedure Areas)
Jupiter Medical Center Urgent Care,Dr. Gary Bradley DO MSC (Medical Director Martin County),(772) 263-8400,info@jupitermedurgentcare.com,https://www.jupitermedurgentcare.com/,2628 SE Federal Hwy Stuart FL 34994,Unknown,Urgent care - Walk-in clinic specializing in non-emergent injuries and illnesses lab tests x-rays vaccinations sports physicals
St. Lucie Medical Specialists Okeechobee,Not specified,Not specified,Not specified,https://www.hcafloridaphysicians.com/locations/treasure-coast-medical-specialists/cardiology,Okeechobee FL,Unknown,Multi-specialty Practice - Cardiology doctors providing full range of heart care options and testing for patients in Okeechobee Florida area
Florida Department of Health in Indian River County,Not specified,Not specified,Not specified,https://indianriver.floridahealth.gov/,1900 27th St Vero Beach FL,Unknown,Public Health - Florida Department of Health in Indian River County providing clinical services community health programs
Cleveland Clinic Digestive Disease and Surgery,Not specified,Not specified,Not specified,https://my.clevelandclinic.org/florida/departments/digestive,Treasure Coast FL,Unknown,Gastroenterology - Nationally ranked for expertise and care convenient appointments comprehensive gastroenterology and gastrointestinal GI surgery Cleveland Clinic Florida
Tampa General Digestive Health Treasure Coast,Not specified,Not specified,Not specified,https://tghdigestivehealth.com/,Palm Beach County and Treasure Coast FL,Unknown,Gastroenterology - TGH Digestive Health highest ranked in Florida No. 19 in nation for Gastroenterology and GI Surgery U.S. News and World Report 2023-2024 serving Palm Beach County and Treasure Coast
Gastroenterology Specialists Inc.,Dr. Kalpana Kalahasthy MD,Not specified,Not specified,https://www.gastroenterologyspecialistsinc.com/our-providers,Palm Beach County Treasure Coast FL,Unknown,Gastroenterology - Dedicated to providing exceptional care patients throughout Palm Beach County Treasure Coast areas founded by Dr. Kalpana Kalahasthy MD digestive health top priority
Treasure Coast Center for Surgery Gastroenterology,Not specified,Not specified,Not specified,https://treasurecoastcenterforsurgery.com/gastroenterology,Treasure Coast FL,Unknown,Gastroenterology - Gastroenterologists can help learn about digestive diseases diagnoses and effective treatment options comprehensive care
JJK MD Gastroenterology,Not specified,Not specified,Not specified,https://www.jjkmdgastroenterology.com/doctor,Treasure Coast FL,Unknown,Gastroenterology - Dr. Epstein performs elective procedures at Treasure Coast Surgical Center comprehensive digestive health care
Treasure Coast Podiatry,Not specified,Not specified,Not specified,https://www.footsurgicalspecialist.com/,Multiple locations: Stuart Fort Pierce Port St. Lucie Okeechobee FL,Unknown,Podiatry - Podiatrist offices all over Treasure Coast of Florida specializing in foot ankle heel pain treatments comprehensive care foot and ankle conditions
Taub Podiatry,Not specified,Not specified,Not specified,https://www.taubpodiatry.com/,Stuart Port St. Lucie Hobe Sound FL,Unknown,Podiatry - Treasure Coast community specializing in foot ankle heel pain treatments across Stuart Port St. Lucie Hobe Sound advanced therapies Remy Laser treatment shockwave therapy
South Florida Foot and Ankle Centers,Not specified,Not specified,Not specified,https://sffac.com/,Four Florida locations,Unknown,Podiatry - Expert foot and ankle care experienced podiatrists treat conditions arthritis bunions flat feet gout toenail fungus diabetic neuropathy using advanced tools
Treasure Coast Podiatry Centre Fort Pierce,Not specified,Not specified,Not specified,https://www.mapquest.com/us/florida/treasure-coast-podiatry-centre-271111084,1090 Virginia Ave Fort Pierce FL 34982,Unknown,Podiatry - Leading podiatry practice in Fort Pierce team of expert podiatrists boasting over 100 years of combined experience comprehensive care wide range foot and ankle conditions gout diabetic foot care modern diagnostic
Ankle and Foot Center of Florida,Dr. Gonzalez Dr. Sanchez,Not specified,Not specified,https://anklefootcenterflorida.com/,Palm Beach Gardens FL,Unknown,Podiatry - Integrative approach to care conservative treatment options custom orthotics braces physical therapy board certified podiatrists foot and ankle surgeons
Certified Foot and Ankle Specialists,Not specified,Not specified,Not specified,https://certifiedfoot.com/,Fourteen locations throughout South Florida,Unknown,Podiatry - Superior comprehensive lower extremity treatment highly trained board certified doctors patient education specialized attention team of specialists podiatrists foot and ankle surgeons wound care specialists vascular and vein specialists interventional cardiologists radiologists
WellMed Treasure Coast Podiatry,Not specified,Not specified,Not specified,https://doctors.wellmedhealthcare.com/locations/details/5341,1095 NW Saint Lucie West Blvd Port Saint Lucie FL,Unknown,Podiatry - WellMed Treasure Coast Podiatry clinic serving older adults in Port Saint Lucie comprehensive podiatry care
Florida Foot and Ankle,Not specified,Not specified,Not specified,https://flafootandankle.com/,Doral FL Treasure Coast area,Unknown,Podiatry - Top podiatrists and podiatry clinics offering expert care foot ankle diabetic conditions personalized treatment
Cleveland Clinic Pulmonary Medicine,Not specified,Not specified,Not specified,https://my.clevelandclinic.org/florida/departments/respiratory/depts/pulmonary,Treasure Coast FL,Unknown,Pulmonology - Personalized treatments help you breathe easier pulmonary care throughout South Florida and Treasure Coast at Weston Hospital Indian River Hospital and Martin Health Hospital locations
Tampa General Pulmonology and Lung,Not specified,Not specified,Not specified,https://www.tgh.org/institutes-and-services/pulmonology-and-lung,Treasure Coast FL,Unknown,Pulmonology - TGH partnership with University of South Florida academic medical center clinical trials publishes regularly forefront of leading-edge therapies and medical advancements in pulmonary care
Pulmonary and Internal Medicine Associates Inc Stuart,Not specified,Not specified,Not specified,https://doctor.webmd.com/practice/pulmonary-and-internal-medicine-associates-inc-60c4b5b4-f0b2-4377-851a-b64d31cb3e18,Stuart FL,Unknown,Pulmonology - Medical group practice located in Stuart FL providing pulmonary and internal medicine services
Pulmonary Critical Care and Sleep Disorders Institute of South Florida PCSI,Not specified,Not specified,Not specified,https://pcsifl.com/,Palm Beach County Treasure Coast FL,Unknown,Pulmonology - Leveraging Tampa General expertise as Floridas leading academic health system TGH PCSI patients access research breakthroughs wider variety clinical trials options for advanced procedures enhanced personal treatment
Pulmonologists Near Stuart FL Healthgrades,Not specified,Not specified,Not specified,https://www.healthgrades.com/pulmonology-directory/fl-florida/stuart,Stuart FL,Unknown,Pulmonology - Board certified pulmonologist in depth knowledge and expertise dedicated to providing quality medical care to patients on staff at HCA Florida St. Lucie Hospital
Rheumatology Associates Stuart,Not specified,Not specified,Not specified,https://www.stuartrheumatology.com/,Stuart FL,Unknown,Rheumatology - Treasure Coasts leading rheumatology center provided excellent comprehensive medical care since 1975 board certified in Internal Medicine and Rheumatology experience in clinical practice teaching and research
Arthritis and Rheumatology Associates of Treasure Coast LLC,Not specified,(772) 800-7758,Not specified,https://www.healthgrades.com/group-directory/fl-florida/port-st-lucie/arthritis-and-rheumatology-associates-of-treasure-coast-llc-xvyj2b,1701 SE Hillmoor Dr Ste D16 Port Saint Lucie FL 34952,Unknown,Rheumatology - Medical group practice located in Port St Lucie FL specializing in Rheumatology board certified rheumatologists comprehensive care arthritis autoimmune conditions
Rheumatology Associates of South Florida,Not specified,Not specified,Not specified,http://www.rasf.com/,South Florida Treasure Coast,Unknown,Rheumatology - Specializing in non-operative orthopedics arthritis autoimmune conditions osteoporosis providing quality care for more than 40 years
Cleveland Clinic Rheumatology and Immunologic Disease,Not specified,Not specified,Not specified,https://my.clevelandclinic.org/florida/departments/orthopaedics-rheumatology/depts/rheumatology,Treasure Coast FL,Unknown,Rheumatology - Board certified rheumatologists treat conditions related to joints soft tissues or connective tissues special expertise in inflammatory arthritis rheumatoid arthritis psoriatic arthritis comprehensive care autoimmune diseases issues affecting bones joints muscles skin
Cleveland Clinic Family Health Center Stuart,Not specified,(772) 223-4999,Not specified,https://my.clevelandclinic.org/florida/locations/stuart-fhc,3801 S Kanner Highway Stuart FL 34994,90 exam rooms 6 procedure rooms 50+ offices,Medical Clinic - Family medicine internal medicine pediatrics primary care cardiology bone density CT scan MRI nuclear medicine occupational therapy physical therapy podiatry speech therapy imaging lab bariatrics concierge medicine obstetrics gynecology pulmonology neurology general surgery urology vascular surgery urgent care 24/7 imaging Mon-Fri 7am-630pm Lab Draw Mon-Fri 7am-630pm Urgent Care Mon-Fri 8am-730pm Sat-Sun 9am-430pm Physician Offices Mon-Fri 8am-5pm
St. Lucie Family Dental,Not specified,(772) 446-4816,Not specified,https://stluciefamilydental.com/,10457 S US Highway 1 Port St Lucie FL 34952,Unknown,Dental - General and cosmetic dentistry preventative care cosmetic dentistry restorative treatments patient-focused care positive atmosphere
S.A.H. & W. Dentistry,Dr. Craig Stranigan Dr. Ryan Askeland Dr. Brent Harris Dr. Willoughby,(772) 340-0805,info@sahandwdentistry.com,https://www.sahandwdentistry.com/,421 SW Bethany Drive Port Saint Lucie FL 34986,Unknown,Dental - General dentistry cosmetic dentistry endodontics periodontics oral sedation veneers crowns gum therapy dentures pediatric dentistry dental labs implant dentistry root canals TMJ Mon-Thu 830am-500pm Fri 830am-1200pm Fax 772-340-0453
Personal Care Physical Therapy,Not specified,(772) 238-0702,Not specified,https://www.pcarephysicaltherapy.com/,Mobile - serves Port Saint Lucie Stuart Jensen Beach Palm City Hobe Sound Jupiter Jupiter Island Palm Beach Gardens FL,Unknown,Physical Therapy - Mobile outpatient physical therapy and occupational therapy concierge in-home rehabilitation post-surgery rehab athletic rehab stroke recovery Parkinsons balance fall prevention strength mobility training gait training pain management functional movement senior PT neurological disorders orthopedic injuries low back pain joint pain Medicare accepted Aetna PPO accepted ages 15+
NAU Physical Therapy and Wellness,Dr. Sokunthea "Sukie" Nau DPT (Owner Founder),(772) 380-4549,Sukienau@hotmail.com,https://nauptwellness.com/,8509 S US Highway 1 Port Saint Lucie FL 34952,Unknown,Physical Therapy - Holistic healing approach treating patients as whole considering mental emotional physical state to address root cause rehabilitation practical self-care customized treatment plans hands-on physical therapy relaxation stress reduction techniques advanced technologies therapies founded 2016 Mon-Fri 800am-500pm closed weekends
North Port St. Lucie Animal Hospital,Dr. Erin McNamara Dr. Robert Carell Dr. Erin Morton,(772) 461-8687,Not specified,https://www.npslah.com/,6801 Heritage Drive Port Saint Lucie FL 34952,Unknown,Veterinary - Full-service animal hospital established 1975 dogs cats checkups medical treatments wellness exams boarding online pharmacy military discount Mon-Fri 800am-500pm Sat 800am-400pm Sun closed
Kelly's Animal Hospital,Not specified,(772) 336-8111,Not specified,https://kellysanimalhospital.com/,150 NW Central Park Plz Port Saint Lucie FL 34986,Unknown,Veterinary - Full-service animal hospital established 1992 Great Place to Work Certified pet dental boarding surgery preventive care wellness care Mon-Fri 730am-600pm Sat 800am-500pm Sun closed
Treasure Coast Spine & Sport,Not specified,(772) 223-9597,info@tcspinesport.com,https://tcspinesport.com/,626 SE Central Parkway Stuart FL 34994,Unknown,Chiropractic - Holistic healthcare including acupuncture chiropractic services massage therapy and nutritional counseling
Fyzical Therapy & Balance Centers,Not specified,(772) 223-3440,Not specified,https://www.fyzical.com/stuart-fl/,4287 SE Federal Hwy Stuart FL 34997,Unknown,Physical Therapy - Medically based physical fitness physical therapy balance centers treating vertigo fall prevention pain management
Port Saint Lucie VA Clinic,Not specified,Not specified,Not specified,https://www.va.gov/west-palm-beach-health-care/locations/port-saint-lucie-va-clinic/,128 SW Chamber Court Port Saint Lucie FL 34986,Unknown,VA Healthcare - Community-Based Outpatient Clinic providing specialty health services in dermatology physical rehabilitation prosthetics mental health support military sexual trauma care pulmonary medicine radiology
Florida Department of Health in St Lucie County,Not specified,(772) 462-3800,chd56webmaster@flhealth.gov,https://stlucie.floridahealth.gov/,1701 S 23rd St Fort Pierce FL 34950,Unknown,Public Health - Florida Department of Health providing clinical services community health programs immunizations testing family planning
Martin Memorial Surgery Center,Not specified,Not specified,Not specified,https://npino.com/surgery-center/1316966336-martin-memorial-surgery-center/,509 SE Riverside Dr Stuart FL 34994,Unknown,Ambulatory Surgery Center - Outpatient surgical facility partnership between Martin Health System and physician group
Stuart Cardiovascular Surgery Center LLC,Not specified,Not specified,Not specified,https://npino.com/surgery-center/1114897964-stuart-cardiovascular-surgery-center-llc/,Port St Lucie FL,Unknown,Ambulatory Surgery Center - Outpatient cardiovascular surgery center specializing in cardiac procedures
Legler Orthodontics,Dr. Lee Legler DDS MS,Not specified,Not specified,https://www.bracesatlegler.com/,Vero Beach Port St Lucie Fort Pierce FL,Unknown,Orthodontics - Board certified orthodontist helping children teens and adults achieve straight beautiful smile braces Invisalign
Vakani Orthodontics,Not specified,Not specified,Not specified,https://www.vakaniortho.com/,Stuart Fort Pierce Port St Lucie Vero Beach Palm Bay FL,Unknown,Orthodontics - Braces and Invisalign treatments comprehensive orthodontic care complimentary consultation includes digital scans treatment plan and cost breakdown
Dermody Pediatric Dentistry & Ortho,Not specified,Not specified,Not specified,https://www.dermodydental.com/,Vero Beach FL,Unknown,Pediatric Dentistry/Orthodontics - Pediatric dental practice offering general and cosmetic dentistry teeth whitening implants veneers
QHC Urgent Care,Not specified,Not specified,Not specified,Not specified,8701 N US Highway 1 Sebastian FL 32958,Unknown,Urgent Care - Walk-in urgent care clinic serving Sebastian and Indian River County
River's Edge Urgent Care,Not specified,Not specified,Not specified,Not specified,Vero Beach FL,Unknown,Urgent Care - Walk-in urgent care clinic serving Vero Beach community
Indian River Walk-in Clinic,Not specified,Not specified,Not specified,Not specified,652 21st St Vero Beach FL 32960,Unknown,Urgent Care/Walk-in - Walk-in clinic providing acute care services for minor illnesses and injuries
Indian River Hospital Pointe West Primary Care and Urgent Care,Not specified,Not specified,Not specified,Not specified,1000 36th St Vero Beach FL 32960,Unknown,Primary Care/Urgent Care - Cleveland Clinic integrated primary care and urgent care services
Coastal Primary Care,Dr. Maureen A. Zelinka MD,(772) 465-3225,IMFPWI@YAHOO.COM,https://www.coastal-primary-care.com/,4995 US-1 Fort Pierce FL 34982,Unknown,Primary Care - Internal medicine and family practice providing physical examinations immunizations management of chronic conditions treatment of minor and acute illness established 1993 accepts various PPO HMO Open Access Insurances
WellMed Indian River Medical Center Urgent Care Sebastian,Not specified,Not specified,Not specified,Not specified,1000 36th St Vero Beach FL 32960,Unknown,Urgent Care - WellMed clinic serving older adults with urgent care services
WellMed Indian River Medical Center Urgent Care Pointe West,Not specified,Not specified,Not specified,Not specified,Vero Beach FL,Unknown,Urgent Care - WellMed clinic serving older adults with urgent care services at Pointe West location
Primary Care of the Treasure Coast Vero Beach,Dr. Richard T. Penly MD,Not specified,Not specified,Not specified,1265 36th St Ste A Vero Beach FL 32960,Unknown,Primary Care - Primary care practice committed to delivering quality medical care enhancing health and well-being of patients
Primary Care of the Treasure Coast Sebastian,Not specified,Not specified,Not specified,Not specified,Sebastian FL,Unknown,Primary Care - Primary care practice serving Sebastian community
VIPcare Sebastian,Caitlin E. LeClair DO Maribel Lopez-Borges MD Nikea S. Stovall APRN,Not specified,Not specified,https://getvipcare.com/our-locations/sebastian,727 Sebastian Blvd Unit B-1 Sebastian FL 32958,Unknown,Primary Care - Senior-focused primary care annual wellness visit dermatology diabetes management earwax removal first aid chronic wound care gastroenterology urology heart vascular imaging services infusion therapy integrative medicine lab testing medication management gynecology podiatry services respiratory and lung orthopedics vaccinations immunizations
Florida Cancer Specialists & Research Institute Sebastian,Dr. Jorge Hurtado-Cordovi MD Dr. William T. McGarry MD,Not specified,Not specified,https://www.flcancer.com/location/fcs-sebastian/,13060 US Hwy 1 Sebastian FL 32958,Unknown,Oncology - Medical oncology hematology cancer genetic testing cancer nutrition counseling cancer support groups online cancer treatment center chemotherapy clinical trials available DNA sequencing hematology immunotherapy infusion therapy intrathecal chemotherapy laboratory medical oncology neoadjuvant chemotherapy non-oncology infusions oncology pharmacy pathology lab telemedicine treating early and advanced cancers blood disorders leukemias lymphomas
Hope Imaging Center,Not specified,Not specified,Not specified,https://www.hopemri.com/,Vero Beach FL,Unknown,Medical Imaging - Since 2010 providing easy prompt access high-quality radiology scans diagnostic imaging services CT scans X-rays mammograms MRIs ultrasounds DEXA scans 23 years in business 87000 patients seen 253000 scans performed auto accident personal injury workmans comp biopsies musculoskeletal imaging prostate imaging low dose CT no facility fees advanced technology patient-centered approach
Vero Radiology Associates,Dr. Robert R Bisset MD,Not specified,Not specified,https://veroradiology.com/,3725 11th Circle Vero Beach FL 32960,Unknown,Medical Imaging - State-of-the-art outpatient imaging facility offering MRI CT ultrasound mammography nuclear medicine women imaging across from Indian River Medical Center certified technologists each specialty same day scheduling extended hours weekend appointments American College of Radiology accredited
Indian River Radiology,Not specified,Not specified,Not specified,https://www.mapquest.com/us/florida/indian-river-radiology-350663777,1485 37th St Ste 107 Vero Beach FL 32960,Unknown,Medical Imaging - Comprehensive range of services including multislice CT scanning open MRI general radiology ultrasound pain management leading imaging center in Vero Beach Florida
Fresenius Kidney Care Treasure Coast North,Not specified,(772) 286-2470,Not specified,https://www.freseniuskidneycare.com/dialysis-centers/florida/1290,2348 SE Ocean Blvd Stuart FL 34996,Unknown,Dialysis - Part of Fresenius Medical Care chain 27 dialysis stations in-center hemodialysis in-center peritoneal dialysis home hemodialysis training for-profit dialysis facility treating chronic kidney disease
DaVita Treasure Coast Dialysis,Not specified,Not specified,Not specified,https://davita.com/locations/fl/port-st-lucie/1407-se-goldtree-dr--12119/,1407 SE Goldtree Dr Ste A Port Saint Lucie FL 34952,Unknown,Dialysis - DaVita chain dialysis center offering in-center hemodialysis peritoneal dialysis part of day schedule for-profit facility serving Port St Lucie Saint Lucie County chronic kidney disease patients
Treasure Coast Sleep Disorders LLC,Not specified,(772) 232-9990,Not specified,http://treasurecoastsleep.com/,1380 NW Federal Hwy Stuart FL 34994 and 188 NW Central Park Plz Port Saint Lucie FL 34986,Unknown,Sleep Medicine - Independent Diagnostic Testing Facility IDTF Sleep Disorders Center accredited by American Academy of Sleep Medicine 4 bed state-of-the-art Sleep Disorders Center specializing in diagnosis treatment of Obstructive Sleep Apnea two convenient locations Jensen Beach and St Lucie West Florida patient-centered amenities highest level of care in Sleep Medicine
Cleveland Clinic Sebastian Primary Care and Urgent Care,Not specified,Not specified,Not specified,https://www.mapquest.com/us/florida/cleveland-clinic-sebastian-primary-care-and-urgent-care-369094160,801 Wellness Way Ste 107 Sebastian FL 32958,Unknown,Primary Care/Urgent Care - Cleveland Clinic integrated primary care urgent care services Sebastian Medical Suites 178-bed comprehensive medical and surgical facility serving Treasure Coast communities 50 years trusted healthcare provider expert compassionate care
Sebastian Primary Care and Urgent Care,Not specified,(772) 581-5581,Not specified,https://www.yelp.com/biz/sebastian-primary-care-and-urgent-care-sebastian-109,801 Wellness Way Sebastian FL 32958,Unknown,Primary Care/Urgent Care - Walk-in clinic open Mon-Fri 8am-7pm Sat 9am-5pm Sun closed providing primary care urgent care services Sebastian Indian River County
Pain Care Florida Stuart (formerly Interventional Pain Physicians of South Florida),Dr. Kevin A. Chaitoff Dr. Wayne S. Weidenbaum Dr. Alvarez Dr. Kuchera Dr. Levine Dr. Warsch,(772) 286-2470,Not specified,https://paincareflorida.com/,111 SE Osceola Street Stuart FL 34994,Unknown,Pain Management - Board-certified interventional pain medicine doctors Dr. Kevin A. Chaitoff Dr. Wayne S. Weidenbaum treating acute chronic pain offering ongoing care manage treat pain multiple specialists advanced medical education pain management techniques interventional procedures
Legacy Behavioral Health Vero Beach,Not specified,Not specified,Not specified,https://legacybhc.com/locations/legacy-behavioral-health-vero-beach/,Vero Beach FL,Unknown,Behavioral Health - Community mental health center serving residents Martin Okeechobee St Lucie Indian River Palm Beach Counties since 2005 comprehensive mental health services
PUR Behavioral Health,Not specified,Not specified,Not specified,https://behavioralhealth.purhealth.us/,Vero Beach FL,Unknown,Behavioral Health - Comprehensive mental health services including therapy psychiatric care in Vero Beach Florida treating anxiety depression bipolar ADHD OCD PTSD psychotherapy counseling medication management
Cleveland Clinic Indian River Hospital Behavioral Health Center,Not specified,(772) 563-4444,Not specified,https://my.clevelandclinic.org/florida/locations/directions/535-behavioral-health-center,1190 37th Street Vero Beach FL 32960,Unknown,Behavioral Health - Inpatient outpatient treatment services people all ages children to seniors treating anxiety disorders post-traumatic stress disorder depression bipolar disorder schizophrenia other mental health conditions psychiatry psychology 24/7 free parking surface parking
Mental Health Association in Indian River County,Not specified,Not specified,Not specified,https://www.mhairc.org/,Vero Beach FL,Unknown,Behavioral Health - Crisis intervention individual therapy services children adults families psychiatric evaluations medication management services adults Walk-In Counseling Center mental health clinic dedicated providing individuals best mental health care services available
Sleep Apnea Wellness Center Stuart,Not specified,Not specified,Not specified,https://dentalsleepdisorders.com/,Stuart FL,Unknown,Sleep Medicine - Dental sleep medicine services for snoring sleep apnea continuous positive airway pressure CPAP disorders providing medical dental services including impressions teeth patients Port St Lucie Palm City Treasure Coast area sleep solutions
South Florida Sleeps,Not specified,Not specified,Not specified,https://southfloridasleeps.com/,South Florida,Unknown,Sleep Medicine - Sleep Medicine Specialists of South Florida comprehensive sleep disorders center dedicated management snoring obstructive sleep apnea sleep apnea syndromes insomnia narcolepsy patients evaluated diagnosed managed
St. Lucie Surgery Center Port St Lucie,Not specified,(772) 337-5200,Not specified,https://www.hcafloridahealthcare.com/locations/st-lucie-hospital/specialties/surgery,1310 SE West Star Avenue Port St Lucie FL 34952,Unknown,Ambulatory Surgery Center - HCA Florida St. Lucie Hospital outpatient surgery center providing spine orthopedic neurosurgery podiatry colorectal thoracic vascular endoscopic procedures colonoscopy endoscopic ultrasound upper lower endoscopy advanced GI procedures robotic surgery minimally invasive procedures outpatient surgical procedures no overnight stay reduced costs
Treasure Coast Surgical Center Fort Pierce,Not specified,Not specified,Not specified,https://www.mapquest.com/us/florida/treasure-coast-surgical-center-354226118,1811 S 25th St Fort Pierce FL 34947,Unknown,Ambulatory Surgery Center - Outpatient surgery services accredited by Joint Commission fully licensed State of Florida Federal Medicare program specializing outpatient surgery allowing greater individual time attention patients no overnight stay
Medfast Urgent Care Sebastian,Not specified,Not specified,Not specified,https://www.medfastcare.com/urgent-care-centers/sebastian.html,13800 US 1 Sebastian FL 32958,Unknown,Urgent Care - Brevard County's Best Closest Urgent Care Walk-In Medical Clinic 20 locations Brevard County Sebastian location walk-in urgent care services
Indian River Hospital Vero Radiology Cleveland Clinic,Not specified,(772) 562-0163,Not specified,https://my.clevelandclinic.org/locations/directions/558-indian-river-hospital-vero-radiology,3725 11th Circle Vero Beach FL 32960,Unknown,Medical Imaging - MRI Cardiac CT Cardiac Diagnostic Testing Cardiac MRI CT Scan Interventional Radiology Nuclear Cardiac Testing SPECT Nuclear Medicine Ultrasound Fluoroscopy General X-Ray Cleveland Clinic Indian River Hospital Vero Radiology
Health Street Port Saint Lucie Occupational Health,Not specified,(772) 212-8561,Not specified,https://www.health-street.net/occupational-health/locations/port-saint-lucie-fl,Port Saint Lucie FL,Unknown,Occupational Health - Workplace health services 9 convenient locations in Port Saint Lucie Florida employee screening occupational health provider
Mobile Health Port St Lucie,Not specified,Not specified,Not specified,https://www.mobilehealth.com/locations/florida/fl-st-lucie-county/fl-port-st-lucie/,784 SE Prima Vista Blvd Port St. Lucie Florida 34952,Unknown,Occupational Health - Since 1984 trusted employee screening occupational health provider 6500 nationwide clinics on-site teams every medical exam employers need hiring compliance
Fort Pierce VA Clinic,Not specified,Not specified,Not specified,https://www.va.gov/west-palm-beach-health-care/locations/fort-pierce-va-clinic/,Fort Pierce FL,Unknown,VA Healthcare - Community-Based Outpatient Clinic providing specialty health services in dermatology physical rehabilitation prosthetics mental health support military sexual trauma care pulmonary medicine radiology for veterans Fort Pierce area
Stuart Orthopedic Center Spine Orthopedic Doctors,Not specified,Not specified,Not specified,https://www.spineorthocenter.com/locations/stuart-fl/,Stuart FL,Unknown,Orthopedic - Multi-disciplinary specialists providing wide range treatment options comprehensive pain management combining interventional pain management orthopedic care spine orthopedic doctors Stuart Florida live pain free life
Ocean Sound Sleep Dental Sleep Medicine,Not specified,Not specified,Not specified,https://oceansoundsleep.com/,Stuart FL,Unknown,Sleep Medicine - Dental sleep medicine services sleep dentist treatments sleep disorders ensuring restful nights wake up refreshed dedicated team offering treatments sleep disorders
Back In Action Medical Centers Pain Relief,Not specified,Not specified,Not specified,https://backinactionmedical.com/services/pain-relief/,Palm City Stuart Port St Lucie Jensen Beach Indiantown Florida,Unknown,Pain Management - Serving Palm City Stuart Port St Lucie Jensen Beach Indiantown surrounding Treasure Coast area wide range innovative pain relief services musculoskeletal rehabilitation
HCA Florida Fort Pierce Surgical Specialists,Not specified,Not specified,Not specified,https://www.hcafloridaphysicians.com/locations/fort-pierce-surgical-specialists/lawnwood,2401 Frist Blvd Suite 4 Fort Pierce FL 34986,Unknown,Surgery Specialists - HCA Florida Physicians practice high-quality care experienced team doctors surgeons Fort Pierce Florida
Orthopedic Laser Spine Surgery Fort Pierce,Not specified,Not specified,Not specified,https://www.orthopedicandlaserspinesurgery.com/florida/fort-pierce-spine-surgeon/,Fort Pierce FL,Unknown,Orthopedic Surgery - Fort Pierce location provides outpatient surgical options minimally invasive procedures allowing return home same day promoting quicker more comfortable recovery pre-operative tests
St. Lucie County Port St Lucie Employee Clinic,Not specified,Not specified,Not specified,https://www.stlucieco.gov/departments-and-services/human-resources/employee-benefits/employee-wellness-centers,Port St Lucie FL,Unknown,Employee Health - Employee Family Health Wellness Centers St Lucie County FL services available 7am-7pm seven days week Port St Lucie location open on Sundays Fort Pierce location open on Saturdays
Debra Eddington DDS,Dr. Debra Eddington DDS,Not specified,Not specified,https://www.debraeddingtondds.com/,1930 NE Jensen Beach Blvd Jensen Beach FL 34957,Unknown,Dental - Cosmetic and general dentistry seeks to provide highest level of care in all aspects of cosmetic and general dentistry can literally redesign smile
Jensen Beach Dental,Not specified,(772) 334-4004,Not specified,https://www.jensenbeachdental.com/,Jensen Beach FL,Unknown,Dental - Cosmetic dentistry general dentistry preventive restorative cosmetic services full range general dentistry preventive restorative cosmetic services all under one roof safe inviting environment family-friendly atmosphere
Schwerer Dental Care Jensen Beach,Not specified,Not specified,Not specified,https://schwererdentalcare.com/locations/jensen-beach/,Jensen Beach FL,Unknown,Dental - Trusted dentist in Jensen Beach FL for general dentistry family dentistry cosmetic dentistry and restorative dentistry services include smile makeovers tooth extractions bonding wisdom teeth removal
Family Dentistry of Jensen Beach,Not specified,Not specified,Not specified,https://familydentistryjensenbeach.com/,Jensen Beach FL,Unknown,Dental - From routine cleanings to transformative smile makeovers comprehensive range of dental services to meet needs general dentistry for regular check-ups cosmetic dentistry comprehensive care for individuals families
Jensen Beach Smiles,Not specified,Not specified,Not specified,https://www.jbsmiles.com/,1852 NE Jensen Beach Blvd Jensen Beach FL 34957,Unknown,Dental - Range of services from cosmetic treatments to advanced orthodontics root canals gum care children dentistry and oral surgery all performed with latest technology precision comprehensive convenient dental care one place
Sage Dental Jensen Beach,Not specified,Not specified,Not specified,https://mysagedental.com/jensen-beach/,Jensen Beach FL,Unknown,Dental - Comprehensive services include wide variety of options regardless of what dealing with can come see us at Sage Dental Jensen Beach
Stuart Prosthetic Dentistry Jensen Beach,Not specified,Not specified,Not specified,https://www.stuartpro.com/dentist-port-jensen-beach-fl/,Jensen Beach FL,Unknown,Dental - Practice offers patients from Jensen Beach comprehensive dental care including prosthodontic procedures general dentistry Invisalign dental hygiene
Premier Cardiology VB,Dr. Vikranth R. Gongidi MD,(772) 494-0794,info@premiercardiologyvb.com,https://www.premiercardiologyvb.com/,787 37th Street Suite 250 Vero Beach FL 32960,Unknown,Cardiology - Leading cardiologist clinic in Vero Beach FL heart specialist doctors provide expert cardiology services Dr. Vikranth Gongidi cardiologist and practice owner dedicated to providing personalized state-of-the-art cardiac care
Vero Cardiology,Dr. Deo Narine MD,Not specified,Not specified,https://www.verocardiology.com/,Vero Beach FL,Unknown,Cardiology - Independent cardiologist in Vero Beach Board Certification in Internal Medicine and Cardiovascular diseases active member in American College of Cardiology Collaborative Maintenance Pathway CMP to maintain certification ongoing IAC accreditation in both Echocardiography and Nuclear PET stress testing
Howard T. Tee MD,Dr. Howard T. Tee MD,Not specified,Not specified,https://www.howardteemd.com/,Vero Beach FL,Unknown,Cardiology - Cardiovascular practice in Vero Beach goals to provide best possible outcome via individualized treatments
